Age,Annual Income (k$),Spending Score (1-100)
19,15,39
21,15,81
64,19,3
67,19,14
37,20,13
22,20,79
20,21,66
52,23,29
35,24,35
25,24,73
31,25,73
29,28,82
35,28,61
60,30,4
53,33,4
18,33,92
24,38,92
48,39,36
33,42,60
59,43,60
47,43,41
69,44,46
53,46,46
70,46,56
19,46,55
63,48,51
18,48,59
19,48,59
70,49,55
59,54,47
26,54,54
40,54,48
57,54,51
38,54,55
67,54,41
48,54,46
18,59,41
48,60,49
24,60,52
48,61,42
20,61,49
67,62,59
26,62,55
49,62,56
54,63,46
68,63,43
66,63,48
65,63,52
19,64,46
27,67,56
39,69,91
43,71,35
40,71,95
59,71,11
38,71,75
47,71,9
39,71,75
20,73,5
32,73,73
19,74,10
32,75,93
25,77,12
28,77,97
48,77,36
34,78,90
43,78,17
39,78,88
37,78,1
34,78,1
19,81,5
50,85,26
42,86,20
32,87,63
40,87,13
28,87,75
36,87,10
36,87,92
58,88,15
27,88,69
59,93,14
35,93,90
46,98,15
30,99,97
28,101,68
33,113,8
32,126,74
32,137,18
30,137,83
20,16,6
23,16,77
31,17,40
22,17,76
35,18,6
23,18,94
30,19,72
35,19,99
58,20,15
24,20,77
35,21,35
35,23,98
46,25,5
54,28,14
45,28,32
40,29,31
23,29,87
21,30,73
49,33,14
21,33,81
42,34,17
30,34,73
36,37,26
20,37,75
65,38,35
31,39,61
49,39,28
24,39,65
50,40,55
27,40,47
29,40,42
31,40,42
49,42,52
31,43,54
50,43,45
51,44,50
27,46,51
67,47,52
54,47,59
43,48,50
68,48,48
32,48,47
47,49,42
60,50,49
60,50,56
45,54,53
23,54,52
49,54,42
46,54,44
21,54,57
55,57,58
22,57,55
34,58,60
50,58,46
68,59,55
40,60,40
32,60,42
47,60,47
27,60,50
23,62,41
49,62,48
21,62,42
66,63,50
19,63,54
38,64,42
18,65,48
19,65,50
63,65,43
49,65,59
51,67,43
50,67,57
38,67,40
40,69,58
23,70,29
31,70,77
25,72,34
31,72,71
29,73,88
44,73,7
35,74,72
57,75,5
28,76,40
32,76,87
32,77,74
34,78,22
44,78,20
38,78,76
47,78,16
27,78,89
30,78,78
30,78,73
56,79,35
29,79,83
31,81,93
36,85,75
33,86,95
36,87,27
52,88,13
30,88,86
37,97,32
32,97,86
29,98,88
41,99,39
54,101,24
41,103,17
36,103,85
34,103,23
32,103,69
38,113,91
47,120,16
35,120,79
45,126,28
