Annual Income (k$),Spending Score (1-100)
15,39
15,81
19,3
19,14
20,13
20,79
21,66
23,29
24,35
24,73
25,73
28,82
28,61
30,4
33,4
33,92
38,92
39,36
42,60
43,60
43,41
44,46
46,46
46,56
46,55
48,51
48,59
48,59
49,55
54,47
54,54
54,48
54,51
54,55
54,41
54,46
59,41
60,49
60,52
61,42
61,49
62,59
62,55
62,56
63,46
63,43
63,48
63,52
64,46
67,56
69,91
71,35
71,95
71,11
71,75
71,9
71,75
73,5
73,73
74,10
75,93
77,12
77,97
77,36
78,90
78,17
78,88
78,1
78,1
81,5
85,26
86,20
87,63
87,13
87,75
87,10
87,92
88,15
88,69
93,14
93,90
98,15
99,97
101,68
113,8
126,74
137,18
137,83
16,6
16,77
17,40
17,76
18,6
18,94
19,72
19,99
20,15
20,77
21,35
23,98
25,5
28,14
28,32
29,31
29,87
30,73
33,14
33,81
34,17
34,73
37,26
37,75
38,35
39,61
39,28
39,65
40,55
40,47
40,42
40,42
42,52
43,54
43,45
44,50
46,51
47,52
47,59
48,50
48,48
48,47
49,42
50,49
50,56
54,53
54,52
54,42
54,44
54,57
57,58
57,55
58,60
58,46
59,55
60,40
60,42
60,47
60,50
62,41
62,48
62,42
63,50
63,54
64,42
65,48
65,50
65,43
65,59
67,43
67,57
67,40
69,58
70,29
70,77
72,34
72,71
73,88
73,7
74,72
75,5
76,40
76,87
77,74
78,22
78,20
78,76
78,16
78,89
78,78
78,73
79,35
79,83
81,93
85,75
86,95
87,27
88,13
88,86
97,32
97,86
98,88
99,39
101,24
103,17
103,85
103,23
103,69
113,91
120,16
120,79
126,28
